name,country,country_clean,state_province,region_detail,latitude,longitude,timezone,skill_level_min,skill_level_max,primary_airport_iata,region_major,slug,active
's-Gravenzande,Netherlands,Netherlands,,,52.0115007,4.142832756,UTC,beginner,intermediate,RTM,Europe,'s-gravenzande,TRUE
't Zwin,Belgium,Belgium,,,51.37092307,3.362846375,UTC,beginner,intermediate,OST,Europe,'t-zwin,TRUE
11th Ave Melkbos Strand,"South Africa, SW Coast",South Africa,,SW Coast,-33.67178278,18.40759277,Africa/Johannesburg,intermediate,advanced,CPT,Africa,11th-ave-melkbos-strand,TRUE
13th ave south surfside,"USA, South East, South Carolina",USA,South East,South Carolina,33.59517506,-78.98088455,America/Los_Angeles,beginner,intermediate,MYR,North America,13th-ave-south-surfside,TRUE
13th beach,"Australia, VIC, Melbourne West",Australia,VIC,Melbourne West,-38.28535548,144.4616318,Australia/Sydney,beginner,intermediate,AVV,Oceania,13th-beach,TRUE
13th Street,"USA, South East, North Florida",USA,South East,North Florida,28.29555765,-80.60898542,America/Los_Angeles,beginner,intermediate,COF,North America,13th-street,TRUE
14th km.,"Morocco, South",Morocco,,South,30.50612172,-9.685896635,Africa/Casablanca,intermediate,advanced,AGA,Africa,14th-km.,TRUE
15th St.,"USA, California, San Diego County",USA,California,San Diego County,32.95880562,-117.2696114,America/Los_Angeles,intermediate,advanced,NKX,North America,15th-st.,TRUE
16 MILE BEACH,"South Africa, West Coast",South Africa,,West Coast,-33.3590115,18.15466046,Africa/Johannesburg,intermediate,advanced,SDB,Africa,16-mile-beach,TRUE
17th Ave,"USA, Gulf Coast, Florida",USA,Gulf Coast,Florida,30.33508352,-87.11486578,America/Los_Angeles,beginner,intermediate,PNS,North America,17th-ave,TRUE
17th Ave,"USA, Gulf Coast, Florida",USA,Gulf Coast,Florida,30.33508352,-87.11486578,America/Los_Angeles,beginner,intermediate,PNS,North America,17th-ave,TRUE
