name,country,latitude,longitude,timezone,skill_level_min,skill_level_max,primary_airport_iata,region_major,slug,active
's-Gravenzande,Netherlands,52.01150069904,4.1428327560425,UTC,beginner,intermediate,RTM,Europe,'s-gravenzande,True
't Zwin,Belgium,51.370923071145,3.3628463745118,UTC,beginner,intermediate,OST,Europe,'t-zwin,True
11th Ave Melkbos Strand,"South Africa, SW Coast",-33.671782783644,18.407592773438,Africa/Johannesburg,intermediate,advanced,CPT,Africa,11th-ave-melkbos-strand,True
13th ave south surfside,"USA, South East, South Carolina",33.595175061468,-78.980884552002,America/Los_Angeles,beginner,intermediate,MYR,North America,13th-ave-south-surfside,True
13th beach,"Australia, VIC, Melbourne West",-38.285355481221,144.4616317749,Australia/Sydney,beginner,intermediate,AVV,Oceania,13th-beach,True
13th Street,"USA, South East, North Florida",28.295557652054,-80.608985424042,America/Los_Angeles,beginner,intermediate,COF,North America,13th-street,True
14th km.,"Morocco, South",30.506121716054,-9.6858966350555,Africa/Casablanca,intermediate,advanced,AGA,Africa,14th-km.,True
15th St.,"USA, California, San Diego County",32.958805616471,-117.26961135864,America/Los_Angeles,intermediate,advanced,NKX,North America,15th-st.,True
16 MILE BEACH,"South Africa, West Coast",-33.359011501838,18.154660463333,Africa/Johannesburg,intermediate,advanced,SDB,Africa,16-mile-beach,True
17th Ave,"USA, Gulf Coast, Florida",30.335083520857,-87.114865779877,America/Los_Angeles,beginner,intermediate,PNS,North America,17th-ave,True
17th Ave,"USA, Gulf Coast, Florida",30.335083520857,-87.114865779877,America/Los_Angeles,beginner,intermediate,PNS,North America,17th-ave,True
17th Street,"USA, California, Orange County",33.663424992738,-118.01432132721,America/Los_Angeles,intermediate,advanced,SNA,North America,17th-street,True
1st beach,"USA, North East, Southern New England",41.487218449774,-71.291527748108,America/Los_Angeles,beginner,intermediate,NPT,North America,1st-beach,True
1st Street Jetty,"USA, North East, Virginia",36.830412875926,-75.967771410942,America/Los_Angeles,beginner,intermediate,NTU,North America,1st-street-jetty,True
20-20s,"Indonesia, East Java",-8.707180455719,114.37447786331,Asia/Jakarta,intermediate,advanced,BWX,Asia,20-20s,True
29th Street,"Canada, West Coast",49.334964966094,-123.19472908974,UTC,beginner,intermediate,CXH,North America,29th-street,True
2nd Avenue Pier,"USA, South East, South Carolina",33.683496610692,-78.885655403137,America/Los_Angeles,beginner,intermediate,MYR,North America,2nd-avenue-pier,True
2nd Beach,"USA, North East, Southern New England",41.487748890187,-71.258418560028,America/Los_Angeles,beginner,intermediate,NPT,North America,2nd-beach,True
2nd corner,"Australia, NSW, Mid North Coast",-31.966744587332,152.59743690491,Australia/Sydney,intermediate,advanced,TRO,Oceania,2nd-corner,True
2nd Light,"USA, South East, North Florida",28.252735731286,-80.603331327438,America/Los_Angeles,beginner,intermediate,COF,North America,2nd-light,True
2nds,"Australia, WA, Perth City",-31.845587214995,115.75018823147,Australia/Sydney,intermediate,advanced,JFM,Oceania,2nds,True
3 emes,"Mexico, Baja Norte",31.897257421069,-116.71371281147,America/Mexico_City,intermediate,advanced,ESE,North America,3-emes,True
3 Mile,"USA, California, Santa Cruz",36.961500196913,-122.1173286438,America/Los_Angeles,intermediate,advanced,WVI,North America,3-mile,True
3 way,"Australia, NSW, South Coast",-35.24670558569,150.54265022278,Australia/Sydney,intermediate,advanced,NOA,Oceania,3-way,True
3-poles reef,"Australia, SA, York Peninsula",-35.177614339396,138.46675515175,Australia/Sydney,advanced,advanced,ADL,Oceania,3-poles-reef,True
