full_location_name,country_clean,latitude,longitude,timezone,primary_airport_iata,region_major,slug,active,nearest,hotellook_city_id,skill_level_min,skill_level_max,hotellook_city_id_airport
's-Gravenzande,Netherlands,52.0115007,4.142832756,UTC,RTM,Europe,s-gravenzande-netherlands,TRUE,'s-Gravenzande,1419952,beginner,intermediate,1841
't Zwin,Belgium,51.37092307,3.362846375,UTC,OST,Europe,t-zwin-belgium,TRUE,Knokke-Heist,2387,beginner,intermediate,2301
"11th Ave Melkbos Strand, SW Coast",South Africa,-33.67178278,18.40759277,Africa/Johannesburg,CPT,Africa,11th-ave-melkbos-strand-sw-coast-south-africa,TRUE,,,intermediate,advanced,678
"13th ave south surfside, South East, South Carolina",USA,33.59517506,-78.98088455,America/Los_Angeles,MYR,North America,13th-ave-south-surfside-south-east-south-carolina-usa,TRUE,Surfside Beach,22011,beginner,intermediate,
"13th beach, VIC, Melbourne West",Australia,-38.28535548,144.4616318,Australia/Sydney,AVV,Oceania,13th-beach-vic-melbourne-west-australia,TRUE,City of Greater Geelong,5286,beginner,intermediate,5436
"13th Street, South East, North Florida",USA,28.29555765,-80.60898542,America/Los_Angeles,COF,North America,13th-street-south-east-north-florida-usa,TRUE,Cocoa Beach,17772,beginner,intermediate,5191
"14th km., South",Morocco,30.50612172,-9.685896635,Africa/Casablanca,AGA,Africa,14th-km-south-morocco,TRUE,Aourir,1511442,intermediate,advanced,4277
"15th St., California, San Diego County",USA,32.95880562,-117.2696114,America/Los_Angeles,NKX,North America,15th-st-california-san-diego-county-usa,TRUE,Del Mar,17093,intermediate,advanced,
"16 MILE BEACH, West Coast",South Africa,-33.3590115,18.15466046,Africa/Johannesburg,SDB,Africa,16-mile-beach-west-coast-south-africa,TRUE,,,intermediate,advanced,
"17th Ave, Gulf Coast, Florida",USA,30.33508352,-87.11486578,America/Los_Angeles,PNS,North America,17th-ave-gulf-coast-florida-usa,TRUE,Escambia County,,beginner,intermediate,
"17th Ave, Gulf Coast, Florida",USA,30.33508352,-87.11486578,America/Los_Angeles,PNS,North America,17th-ave-gulf-coast-florida-usa-2,TRUE,Escambia County,,beginner,intermediate,
"17th Street, California, Orange County",USA,33.66342499,-118.0143213,America/Los_Angeles,SNA,North America,17th-street-california-orange-county-usa,TRUE,Huntington Beach,17172,intermediate,advanced,
"1st beach, North East, Southern New England",USA,41.48721845,-71.29152775,America/Los_Angeles,NPT,North America,1st-beach-north-east-southern-new-england-usa,TRUE,Newport County,21919,beginner,intermediate,
"1st Street Jetty, North East, Virginia",USA,36.83041288,-75.96777141,America/Los_Angeles,NTU,North America,1st-street-jetty-north-east-virginia-usa,TRUE,Virginia Beach,22798,beginner,intermediate,
"20-20s, East Java",Indonesia,-8.707180456,114.3744779,Asia/Jakarta,BWX,Asia,20-20s-east-java-indonesia,TRUE,,,intermediate,advanced,
"29th Street, West Coast",Canada,49.33496497,-123.1947291,UTC,CXH,North America,29th-street-west-coast-canada,TRUE,West Vancouver,1522791,beginner,intermediate,16968
"2nd Avenue Pier, South East, South Carolina",USA,33.68349661,-78.8856554,America/Los_Angeles,MYR,North America,2nd-avenue-pier-south-east-south-carolina-usa,TRUE,Myrtle Beach,21988,beginner,intermediate,
"2nd Beach, North East, Southern New England",USA,41.48774889,-71.25841856,America/Los_Angeles,NPT,North America,2nd-beach-north-east-southern-new-england-usa,TRUE,Middletown,21917,beginner,intermediate,
"2nd corner, NSW, Mid North Coast",Australia,-31.96674459,152.5974369,Australia/Sydney,TRO,Oceania,2nd-corner-nsw-mid-north-coast-australia,TRUE,,,intermediate,advanced,5634
"2nd Light, South East, North Florida",USA,28.25273573,-80.60333133,America/Los_Angeles,COF,North America,2nd-light-south-east-north-florida-usa,TRUE,Brevard County,,beginner,intermediate,5191
"2nds, WA, Perth City",Australia,-31.84558721,115.7501882,Australia/Sydney,JFM,Oceania,2nds-wa-perth-city-australia,TRUE,Perth,5536,intermediate,advanced,
"3 emes, Baja Norte",Mexico,31.89725742,-116.7137128,America/Mexico_City,ESE,North America,3-emes-baja-norte-mexico,TRUE,Ensenada,4408,intermediate,advanced,2700
"3 Mile, California, Santa Cruz",USA,36.9615002,-122.1173286,America/Los_Angeles,WVI,North America,3-mile-california-santa-cruz-usa,TRUE,Santa Cruz County,17392,intermediate,advanced,
"3 way, NSW, South Coast",Australia,-35.24670559,150.5426502,Australia/Sydney,NOA,Oceania,3-way-nsw-south-coast-australia,TRUE,,,intermediate,advanced,
"3-poles reef, SA, York Peninsula",Australia,-35.17761434,138.4667552,Australia/Sydney,ADL,Oceania,3-poles-reef-sa-york-peninsula-australia,TRUE,Adelaide,5052,advanced,advanced,5052
"35th Street, IOP, South East, South Carolina",USA,32.79524749,-79.76688981,America/Los_Angeles,CHS,North America,35th-street-iop-south-east-south-carolina-usa,TRUE,Isle of Palms,21971,beginner,intermediate,
"36th street, California, Orange County",USA,33.61515538,-117.9372239,America/Los_Angeles,SNA,North America,36th-street-california-orange-county-usa,TRUE,Newport Beach,17283,intermediate,advanced,
"36th Street, North East, New Jersey",USA,39.15717812,-74.68589544,America/Los_Angeles,WWD,North America,36th-street-north-east-new-jersey-usa,TRUE,Sea Isle City,,beginner,intermediate,
38th Parallel,South Korea,38.00606673,128.7326592,UTC,YNY,Asia,38th-parallel-south-korea,TRUE,Hyeonbuk,5791,intermediate,advanced,5798
"38th St. Beach, North East, New Jersey",USA,39.38791729,-74.38632488,America/Los_Angeles,ACY,North America,38th-st-beach-north-east-new-jersey-usa,TRUE,Brigantine,20357,beginner,intermediate,
"3de Steen, Cape Town",South Africa,-33.77276204,18.44432831,Africa/Johannesburg,CPT,Africa,3de-steen-cape-town-south-africa,TRUE,Cape Town,678,intermediate,advanced,678
"3rd Groyne, WA, Perth City",Australia,-31.83367008,115.7469052,Australia/Sydney,JFM,Oceania,3rd-groyne-wa-perth-city-australia,TRUE,,,intermediate,advanced,
"4 Bobs, Mentawai",Indonesia,-1.90912196,99.31065559,Asia/Jakarta,RKI,Asia,4-bobs-mentawai-indonesia,TRUE,,,advanced,advanced,
"4 Mile, California, Santa Cruz",USA,36.96556358,-122.1250534,America/Los_Angeles,WVI,North America,4-mile-california-santa-cruz-usa,TRUE,Santa Cruz County,17392,intermediate,advanced,
"4 Miles, Hawaii, Hawaii Island",USA,19.73519884,-155.0279903,America/Los_Angeles,ITO,North America,4-miles-hawaii-hawaii-island-usa,TRUE,Hilo,24981,intermediate,advanced,
"40th Street, California, Orange County",USA,33.61729968,-117.9388976,America/Los_Angeles,SNA,North America,40th-street-california-orange-county-usa,TRUE,Newport Beach,17283,intermediate,advanced,
411 (quatro-once),Panama,7.238515812,-80.51965177,UTC,PDM,Central America,411-quatro-once-panama,TRUE,,,intermediate,advanced,
"42nd St. VA Beach, North East, Virginia",USA,36.87093515,-75.98200321,America/Los_Angeles,NTU,North America,42nd-st-va-beach-north-east-virginia-usa,TRUE,Virginia Beach,22798,beginner,intermediate,
"46°, Mainland",Italy,43.6387928,10.28497338,UTC,PSA,Europe,46-mainland-italy,TRUE,,,intermediate,advanced,13424
"48th st. Myrtle Beach, South East, South Carolina",USA,33.72065869,-78.84473026,America/Los_Angeles,MYR,North America,48th-st-myrtle-beach-south-east-south-carolina-usa,TRUE,Myrtle Beach,21988,beginner,intermediate,
"48th Street (Ocean City), North East, Virginia",USA,38.37323043,-75.06695151,America/Los_Angeles,OCE,North America,48th-street-ocean-city-north-east-virginia-usa,TRUE,Worcester County,,beginner,intermediate,
"4th groyne, WA, Perth South",Australia,-32.50474921,115.7354844,Australia/Sydney,JAD,Oceania,4th-groyne-wa-perth-south-australia,TRUE,City of Mandurah,5413,intermediate,advanced,1505119
5 1 2km  &  8 1 2km,Ecuador,-2.731213362,-80.24688721,UTC,GYE,South America,5-1-2km-8-1-2km-ecuador,TRUE,Posorja,1513317,intermediate,advanced,913
"5 rocks, Okinawa",Japan,26.33154728,127.7418512,UTC,DNA,Asia,5-rocks-okinawa-japan,TRUE,Chatan,25713,intermediate,advanced,
"56th St., California, Orange County",USA,33.62322304,-117.9451847,America/Los_Angeles,SNA,North America,56th-st-california-orange-county-usa,TRUE,Newport Beach,17283,intermediate,advanced,
"57th Street, North East, New Jersey",USA,39.2215568,-74.63570595,America/Los_Angeles,ACY,North America,57th-street-north-east-new-jersey-usa,TRUE,Ocean City,20462,beginner,intermediate,
"58th Street, North East, New Jersey",USA,39.62155714,-74.19307709,America/Los_Angeles,MJX,North America,58th-street-north-east-new-jersey-usa,TRUE,Long Beach Township,,beginner,intermediate,
"5th Street Beach Haven, North East, New Jersey",USA,39.5644284,-74.23316002,America/Los_Angeles,ACY,North America,5th-street-beach-haven-north-east-new-jersey-usa,TRUE,Beach Haven,20344,beginner,intermediate,
"6 pillars, South East Port Elizabeth",South Africa,-33.97844752,25.6558764,Africa/Johannesburg,PLZ,Africa,6-pillars-south-east-port-elizabeth-south-africa,TRUE,Gqeberha,,intermediate,advanced,788
"7 olas, Caribbean",Colombia,11.3203742,-74.09847021,UTC,SMR,South America,7-olas-caribbean-colombia,TRUE,Santa Marta,6249,intermediate,advanced,6249
"7 rocks, Mindanao",Philippines,9.24427867,126.0914612,UTC,TDG,Asia,7-rocks-mindanao-philippines,TRUE,,,beginner,intermediate,
"7th Avenue, South East, North Florida",USA,30.29619343,-81.38904154,America/Los_Angeles,NRB,North America,7th-avenue-south-east-north-florida-usa,TRUE,Jacksonville Beach,17840,beginner,intermediate,
"81st Street, North East, Virginia",USA,36.90679489,-75.9891808,America/Los_Angeles,NTU,North America,81st-street-north-east-virginia-usa,TRUE,Virginia Beach,22798,beginner,intermediate,
"8th Ave n., South East, South Carolina",USA,33.77021136,-78.77030969,America/Los_Angeles,CRE,North America,8th-ave-n-south-east-south-carolina-usa,TRUE,Horry County,,beginner,intermediate,
8th street,Liberia,6.290342251,-10.78841329,UTC,MLW,Africa,8th-street-liberia,TRUE,Monrovia,24200,beginner,intermediate,24200
"90 Mile Beach, New Zealand NI, NW Coast",New Zealand,-35.03758654,173.153801,Pacific/Auckland,KAT,Oceania,90-mile-beach-new-zealand-ni-nw-coast-new-zealand,TRUE,,,beginner,intermediate,13971
"92nd Street, North East, Long Island NY",USA,40.58333064,-73.8120532,America/Los_Angeles,JFK,North America,92nd-street-north-east-long-island-ny-usa,TRUE,New York,20857,beginner,intermediate,
"A Lanzada, Galicia",Spain,42.45462112,-8.881416321,Europe/Madrid,VGO,Europe,a-lanzada-galicia-spain,TRUE,O Grove,3803,intermediate,advanced,4192
"A-Bay, QLD, Sunshine Coast",Australia,-26.38756403,153.1165409,Australia/Sydney,NSV,Oceania,a-bay-qld-sunshine-coast-australia,TRUE,,,beginner,intermediate,
"A-Beach, California, San Luis Obispo",USA,35.40316568,-120.8695543,America/Los_Angeles,SBP,North America,a-beach-california-san-luis-obispo-usa,TRUE,Morro Bay,17273,beginner,intermediate,
Å-land,Sweden,57.33921503,12.06539154,UTC,GOT,Europe,a-land-sweden,TRUE,Kungsbacka kommun,1479489,beginner,intermediate,8784
"A-ver-o-mar, North Porto",Portugal,41.39058989,-8.775200844,Europe/Lisbon,OPO,Europe,a-ver-o-mar-north-porto-portugal,TRUE,,,intermediate,advanced,4884
"aaron's, Mentawai",Indonesia,-2.278461512,99.59393978,Asia/Jakarta,RKI,Asia,aaron-s-mentawai-indonesia,TRUE,,,intermediate,advanced,
"Ab, California, San Diego County",USA,32.71391277,-117.2569996,America/Los_Angeles,NZY,North America,ab-california-san-diego-county-usa,TRUE,San Diego County,1517272,beginner,intermediate,
"Abalolo Reef, Hawaii, Oahu",USA,21.30222703,-157.8982222,America/Los_Angeles,HNL,North America,abalolo-reef-hawaii-oahu-usa,TRUE,Waipahu,,intermediate,advanced,
"Abalone Cove, California, LA County",USA,33.73777274,-118.3760226,America/Los_Angeles,TOA,North America,abalone-cove-california-la-county-usa,TRUE,Rancho Palos Verdes,17341,beginner,intermediate,
"Aber wrac'h point, Brittany North",France,48.57924766,-4.632797241,Europe/Paris,BES,Europe,aber-wrac-h-point-brittany-north-france,TRUE,,,intermediate,advanced,7010
"Aberavon, South Wales",UK,51.58532589,-3.810968399,Europe/London,SWS,Europe,aberavon-south-wales-uk,TRUE,Neath Port Talbot,,beginner,intermediate,8453
"Aberdaron, North Wales and NW England",UK,52.80649733,-4.703521729,Europe/London,VLY,Europe,aberdaron-north-wales-and-nw-england-uk,TRUE,Gwynedd,1499853,beginner,intermediate,
"Aberdeen, East Scotland",UK,57.16463944,-2.079334259,Europe/London,ABZ,Europe,aberdeen-east-scotland-uk,TRUE,Aberdeen City,,beginner,intermediate,6849
