name,full_location_name,country,country_clean,state_province,region_detail,latitude,longitude,timezone,skill_level_min,skill_level_max,primary_airport_iata,region_major,slug,active,nearest_city,nearest_city_distance_km,hotellook_city_id,hotellook_city_name,hotellook_city_distance_km
's-Gravenzande,'s-Gravenzande,Netherlands,Netherlands,,,52.0115007,4.142832756,UTC,beginner,intermediate,RTM,Europe,s-gravenzande-netherlands,TRUE,'s-Gravenzande,0,1419952,S-Gravenzande,2.1
't Zwin,'t Zwin,Belgium,Belgium,,,51.37092307,3.362846375,UTC,beginner,intermediate,OST,Europe,t-zwin-belgium,TRUE,Knokke-Heist,0,2387,Knokke-Heist,7.1
11th Ave Melkbos Strand,"11th Ave Melkbos Strand, SW Coast","South Africa, SW Coast",South Africa,,SW Coast,-33.67178278,18.40759277,Africa/Johannesburg,intermediate,advanced,CPT,Africa,11th-ave-melkbos-strand-sw-coast-south-africa,TRUE,,,,,
13th ave south surfside,"13th ave south surfside, South East, South Carolina","USA, South East, South Carolina",USA,South East,South Carolina,33.59517506,-78.98088455,America/Los_Angeles,beginner,intermediate,MYR,North America,13th-ave-south-surfside-south-east-south-carolina-usa,TRUE,Surfside Beach,0,22011,Surfside Beach,1.4
13th beach,"13th beach, VIC, Melbourne West","Australia, VIC, Melbourne West",Australia,VIC,Melbourne West,-38.28535548,144.4616318,Australia/Sydney,beginner,intermediate,AVV,Oceania,13th-beach-vic-melbourne-west-australia,TRUE,City of Greater Geelong,0,5286,Geelong,17.7
13th Street,"13th Street, South East, North Florida","USA, South East, North Florida",USA,South East,North Florida,28.29555765,-80.60898542,America/Los_Angeles,beginner,intermediate,COF,North America,13th-street-south-east-north-florida-usa,TRUE,Cocoa Beach,0,17772,Cocoa Beach,2.7
14th km.,"14th km., South","Morocco, South",Morocco,,South,30.50612172,-9.685896635,Africa/Casablanca,intermediate,advanced,AGA,Africa,14th-km-south-morocco,TRUE,Aourir,0,1511442,Aourir,5.1
15th St.,"15th St., California, San Diego County","USA, California, San Diego County",USA,California,San Diego County,32.95880562,-117.2696114,America/Los_Angeles,intermediate,advanced,NKX,North America,15th-st-california-san-diego-county-usa,TRUE,Del Mar,0,17093,Del Mar,0.4
16 MILE BEACH,"16 MILE BEACH, West Coast","South Africa, West Coast",South Africa,,West Coast,-33.3590115,18.15466046,Africa/Johannesburg,intermediate,advanced,SDB,Africa,16-mile-beach-west-coast-south-africa,TRUE,,,,,
17th Ave,"17th Ave, Gulf Coast, Florida","USA, Gulf Coast, Florida",USA,Gulf Coast,Florida,30.33508352,-87.11486578,America/Los_Angeles,beginner,intermediate,PNS,North America,17th-ave-gulf-coast-florida-usa,TRUE,Escambia County,0,,,
17th Ave,"17th Ave, Gulf Coast, Florida","USA, Gulf Coast, Florida",USA,Gulf Coast,Florida,30.33508352,-87.11486578,America/Los_Angeles,beginner,intermediate,PNS,North America,17th-ave-gulf-coast-florida-usa-2,TRUE,Escambia County,0,,,
